Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2026-04-30 16:16,SL,27200,1,54529.5,-130.74,-0.24,1.24,7.38,0.01,-130.12,-0.24,-130.74,-0.01,3
1,Entry long,2026-04-30 16:13,LONG,27264.75,1,54529.5,-130.74,-0.24,1.24,7.38,0.01,-130.12,-0.24,-130.74,-0.01,3
2,Exit long,2026-04-30 17:37,TRAIL EXIT,27375,1,54502.5,246.26,0.45,1.24,367.88,0.67,-160.12,-0.29,115.52,0.01,75
2,Entry long,2026-04-30 16:22,LONG,27251.25,1,54502.5,246.26,0.45,1.24,367.88,0.67,-160.12,-0.29,115.52,0.01,75
3,Exit short,2026-05-04 16:11,TRAIL EXIT,27877,1,55756,0.76,0.00,1.24,96.38,0.17,-27.12,-0.05,116.28,0.01,10
3,Entry short,2026-05-04 16:01,SHORT,27878,1,55756,0.76,0.00,1.24,96.38,0.17,-27.12,-0.05,116.28,0.01,10
4,Exit short,2026-05-05 15:30,SL,28006.25,1,55985.5,-28.24,-0.05,1.24,37.88,0.07,-27.62,-0.05,88.04,0.01,19
4,Entry short,2026-05-05 15:11,SHORT,27992.75,1,55985.5,-28.24,-0.05,1.24,37.88,0.07,-27.62,-0.05,88.04,0.01,19
5,Exit short,2026-05-05 17:38,SL,28140.5,1,56214,-68.24,-0.12,1.24,44.88,0.08,-67.62,-0.12,19.8,0.00,44
5,Entry short,2026-05-05 16:54,SHORT,28107,1,56214,-68.24,-0.12,1.24,44.88,0.08,-67.62,-0.12,19.8,0.00,44
6,Exit long,2026-05-06 15:20,SL,28391.25,1,56843,-61.74,-0.11,1.24,29.88,0.05,-61.12,-0.11,-41.94,0.00,10
6,Entry long,2026-05-06 15:10,LONG,28421.5,1,56843,-61.74,-0.11,1.24,29.88,0.05,-61.12,-0.11,-41.94,0.00,10
