Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2026-04-30 16:16,SL,27200,1,54529.5,-130.43,-0.24,0.93,7.69,0.01,-129.81,-0.24,-130.74,-0.01,3
1,Entry long,2026-04-30 16:13,LONG,27264.75,1,54529.5,-130.43,-0.24,0.93,7.69,0.01,-129.81,-0.24,-130.74,-0.01,3
2,Exit long,2026-04-30 16:16,SL,27200,1,54529.5,-130.43,-0.24,0.93,7.69,0.01,-129.81,-0.24,-260.86,-0.03,3
2,Entry long,2026-04-30 16:13,LONG,27264.75,1,54529.5,-130.43,-0.24,0.93,7.69,0.01,-129.81,-0.24,-260.86,-0.03,3
3,Exit long,2026-04-30 16:59,TP MID,27372.75,1,54502.5,242.07,0.44,0.93,242.69,0.45,-159.81,-0.29,-19.1,0.00,37
3,Entry long,2026-04-30 16:22,LONG,27251.25,1,54502.5,242.07,0.44,0.93,242.69,0.45,-159.81,-0.29,-19.1,0.00,37
4,Exit long,2026-04-30 17:37,TRAIL EXIT,27375,1,54502.5,246.57,0.45,0.93,368.19,0.68,-159.81,-0.29,227.78,0.02,75
4,Entry long,2026-04-30 16:22,LONG,27251.25,1,54502.5,246.57,0.45,0.93,368.19,0.68,-159.81,-0.29,227.78,0.02,75
5,Exit short,2026-05-04 16:08,TP MID,27854,1,55756,47.07,0.08,0.93,47.69,0.09,-26.81,-0.05,274.54,0.03,7
5,Entry short,2026-05-04 16:01,SHORT,27878,1,55756,47.07,0.08,0.93,47.69,0.09,-26.81,-0.05,274.54,0.03,7
6,Exit short,2026-05-04 16:11,TRAIL EXIT,27877,1,55756,1.07,0.00,0.93,96.69,0.17,-26.81,-0.05,275.92,0.03,10
6,Entry short,2026-05-04 16:01,SHORT,27878,1,55756,1.07,0.00,0.93,96.69,0.17,-26.81,-0.05,275.92,0.03,10
7,Exit short,2026-05-05 15:30,SL,28006.25,1,55985.5,-27.93,-0.05,0.93,38.19,0.07,-27.31,-0.05,247.68,0.02,19
7,Entry short,2026-05-05 15:11,SHORT,27992.75,1,55985.5,-27.93,-0.05,0.93,38.19,0.07,-27.31,-0.05,247.68,0.02,19
8,Exit short,2026-05-05 15:30,SL,28006.25,1,55985.5,-27.93,-0.05,0.93,38.19,0.07,-27.31,-0.05,220.06,0.02,19
8,Entry short,2026-05-05 15:11,SHORT,27992.75,1,55985.5,-27.93,-0.05,0.93,38.19,0.07,-27.31,-0.05,220.06,0.02,19
9,Exit short,2026-05-05 17:38,SL,28140.5,1,56214,-67.93,-0.12,0.93,45.19,0.08,-67.31,-0.12,151.82,0.02,44
9,Entry short,2026-05-05 16:54,SHORT,28107,1,56214,-67.93,-0.12,0.93,45.19,0.08,-67.31,-0.12,151.82,0.02,44
10,Exit short,2026-05-05 17:38,SL,28140.5,1,56214,-67.93,-0.12,0.93,45.19,0.08,-67.31,-0.12,84.2,0.01,44
10,Entry short,2026-05-05 16:54,SHORT,28107,1,56214,-67.93,-0.12,0.93,45.19,0.08,-67.31,-0.12,84.2,0.01,44
11,Exit long,2026-05-06 15:20,SL,28391.25,1,56843,-61.43,-0.11,0.93,30.19,0.05,-60.81,-0.11,22.46,0.00,10
11,Entry long,2026-05-06 15:10,LONG,28421.5,1,56843,-61.43,-0.11,0.93,30.19,0.05,-60.81,-0.11,22.46,0.00,10
12,Exit long,2026-05-06 15:20,SL,28391.25,1,56843,-61.43,-0.11,0.93,30.19,0.05,-60.81,-0.11,-38.66,0.00,10
12,Entry long,2026-05-06 15:10,LONG,28421.5,1,56843,-61.43,-0.11,0.93,30.19,0.05,-60.81,-0.11,-38.66,0.00,10
13,Exit long,2026-05-06 16:10,TP MID,28483.5,1,56899,67.07,0.12,0.93,67.69,0.12,-3.81,-0.01,28.1,0.00,2
13,Entry long,2026-05-06 16:08,LONG,28449.5,1,56899,67.07,0.12,0.93,67.69,0.12,-3.81,-0.01,28.1,0.00,2
14,Exit long,2026-05-06 16:17,TRAIL EXIT,28450.5,1,56899,1.07,0.00,0.93,99.69,0.18,-3.81,-0.01,29.48,0.00,9
14,Entry long,2026-05-06 16:08,LONG,28449.5,1,56899,1.07,0.00,0.93,99.69,0.18,-3.81,-0.01,29.48,0.00,9
15,Exit short,2026-05-08 15:59,SL,29086,1,58109.5,-63.43,-0.11,0.93,18.19,0.03,-62.81,-0.11,-34.26,0.00,3
15,Entry short,2026-05-08 15:56,SHORT,29054.75,1,58109.5,-63.43,-0.11,0.93,18.19,0.03,-62.81,-0.11,-34.26,0.00,3
16,Exit short,2026-05-08 15:59,SL,29086,1,58109.5,-63.43,-0.11,0.93,18.19,0.03,-62.81,-0.11,-97.38,-0.01,3
