Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2026-06-02 07:53,TP,30459.75,2,121909,68.76,0.06,1.24,69.38,0.06,-29.62,-0.02,68.76,0.01,15
1,Entry short,2026-06-02 07:38,LS,30477.25,2,121909,68.76,0.06,1.24,69.38,0.06,-29.62,-0.02,68.76,0.01,15
2,Exit long,2026-06-02 17:35,TP,30678,2,122201,509.76,0.42,1.24,510.38,0.42,-94.62,-0.08,578.52,0.06,105
2,Entry long,2026-06-02 15:50,LS,30550.25,2,122201,509.76,0.42,1.24,510.38,0.42,-94.62,-0.08,578.52,0.06,105
3,Exit short,2026-06-03 09:21,TP,30716.75,2,122916,47.76,0.04,1.24,48.38,0.04,-36.62,-0.03,626.28,0.06,6
3,Entry short,2026-06-03 09:15,LS,30729,2,122916,47.76,0.04,1.24,48.38,0.04,-36.62,-0.03,626.28,0.06,6
4,Exit short,2026-06-03 15:45,TP,30620,2,122858,376.76,0.31,1.24,377.38,0.31,-91.62,-0.07,1003.04,0.10,10
4,Entry short,2026-06-03 15:35,LS,30714.5,2,122858,376.76,0.31,1.24,377.38,0.31,-91.62,-0.07,1003.04,0.10,10
5,Exit long,2026-06-03 16:12,TP,30675.75,2,122340,361.76,0.30,1.24,362.38,0.30,-213.62,-0.17,1364.8,0.14,20
5,Entry long,2026-06-03 15:52,LS,30585,2,122340,361.76,0.30,1.24,362.38,0.30,-213.62,-0.17,1364.8,0.14,20
6,Exit short,2026-06-04 09:04,SL,30536,2,122088,-57.24,-0.05,1.24,36.38,0.03,-56.62,-0.05,1307.56,0.13,3
6,Entry short,2026-06-04 09:01,LS,30522,2,122088,-57.24,-0.05,1.24,36.38,0.03,-56.62,-0.05,1307.56,0.13,3
7,Exit long,2026-06-04 10:49,SL,30337.75,2,121491,-141.24,-0.12,1.24,118.38,0.10,-140.62,-0.12,1166.32,0.12,19
7,Entry long,2026-06-04 10:30,LS,30372.75,2,121491,-141.24,-0.12,1.24,118.38,0.10,-140.62,-0.12,1166.32,0.12,19
8,Exit long,2026-06-04 12:50,SL,30243.75,2,121190,-216.24,-0.18,1.24,205.38,0.17,-215.62,-0.18,950.08,0.10,86
8,Entry long,2026-06-04 11:24,LS,30297.5,2,121190,-216.24,-0.18,1.24,205.38,0.17,-215.62,-0.18,950.08,0.10,86
9,Exit long,2026-06-04 16:24,TP,30315,2,120932,326.76,0.27,1.24,327.38,0.27,-24.62,-0.02,1276.84,0.13,13
9,Entry long,2026-06-04 16:11,LS,30233,2,120932,326.76,0.27,1.24,327.38,0.27,-24.62,-0.02,1276.84,0.13,13
10,Exit long,2026-06-05 15:06,SL,30040.5,2,120414,-253.24,-0.21,1.24,128.38,0.11,-252.62,-0.21,1023.6,0.10,25
10,Entry long,2026-06-05 14:41,LS,30103.5,2,120414,-253.24,-0.21,1.24,128.38,0.11,-252.62,-0.21,1023.6,0.10,25
11,Exit long,2026-06-05 16:18,TP,29913.75,2,119341,312.76,0.26,1.24,313.38,0.26,-140.62,-0.12,1336.36,0.13,9
11,Entry long,2026-06-05 16:09,LS,29835.25,2,119341,312.76,0.26,1.24,313.38,0.26,-140.62,-0.12,1336.36,0.13,9
12,Exit long,2026-06-08 08:01,TP,29059.25,2,116061,174.76,0.15,1.24,175.38,0.15,-118.62,-0.10,1511.12,0.15,9
12,Entry long,2026-06-08 07:52,LS,29015.25,2,116061,174.76,0.15,1.24,175.38,0.15,-118.62,-0.10,1511.12,0.15,9
13,Exit short,2026-06-08 13:29,SL,29410.25,2,117502,-140.24,-0.12,1.24,18.38,0.02,-139.62,-0.12,1370.88,0.14,4
13,Entry short,2026-06-08 13:25,LS,29375.5,2,117502,-140.24,-0.12,1.24,18.38,0.02,-139.62,-0.12,1370.88,0.14,4
14,Exit short,2026-06-08 16:57,SL,29662.5,2,118538,-113.24,-0.10,1.24,87.38,0.07,-112.62,-0.10,1257.64,0.13,1
14,Entry short,2026-06-08 16:56,LS,29634.5,2,118538,-113.24,-0.10,1.24,87.38,0.07,-112.62,-0.10,1257.64,0.13,1
15,Exit short,2026-06-09 07:49,SL,29649,2,118510,-87.24,-0.07,1.24,1.38,0.00,-86.62,-0.07,1170.4,0.12,4
15,Entry short,2026-06-09 07:45,LS,29627.5,2,118510,-87.24,-0.07,1.24,1.38,0.00,-86.62,-0.07,1170.4,0.12,4
16,Exit short,2026-06-09 15:17,TP,29703.25,2,118905,90.76,0.08,1.24,91.38,0.08,-59.62,-0.05,1261.16,0.13,9
16,Entry short,2026-06-09 15:08,LS,29726.25,2,118905,90.76,0.08,1.24,91.38,0.08,-59.62,-0.05,1261.16,0.13,9
17,Exit short,2026-06-09 15:54,TP,29734.25,2,119165,226.76,0.19,1.24,227.38,0.19,-102.62,-0.09,1487.92,0.15,2
17,Entry short,2026-06-09 15:52,LS,29791.25,2,119165,226.76,0.19,1.24,227.38,0.19,-102.62,-0.09,1487.92,0.15,2
18,Exit long,2026-06-09 16:43,SL,29358.5,2,117810,-377.24,-0.32,1.24,293.38,0.25,-376.62,-0.32,1110.68,0.11,20
18,Entry long,2026-06-09 16:23,LS,29452.5,2,117810,-377.24,-0.32,1.24,293.38,0.25,-376.62,-0.32,1110.68,0.11,20
19,Exit long,2026-06-09 17:09,TP,29261,2,116687,355.76,0.30,1.24,356.38,0.31,-221.62,-0.19,1466.44,0.15,17
19,Entry long,2026-06-09 16:52,LS,29171.75,2,116687,355.76,0.30,1.24,356.38,0.31,-221.62,-0.19,1466.44,0.15,17
20,Exit long,2026-06-09 17:55,SL,28809.75,2,115767,-529.24,-0.46,1.24,119.38,0.10,-528.62,-0.46,937.2,0.09,12
20,Entry long,2026-06-09 17:43,LS,28941.75,2,115767,-529.24,-0.46,1.24,119.38,0.10,-528.62,-0.46,937.2,0.09,12
21,Exit long,2026-06-10 08:08,TP,28994.75,2,115693,284.76,0.25,1.24,285.38,0.25,-173.62,-0.15,1221.96,0.12,39
21,Entry long,2026-06-10 07:29,LS,28923.25,2,115693,284.76,0.25,1.24,285.38,0.25,-173.62,-0.15,1221.96,0.12,39
22,Exit short,2026-06-10 15:43,SL,29024.5,2,115478,-621.24,-0.54,1.24,7.38,0.01,-620.62,-0.54,600.72,0.06,1
22,Entry short,2026-06-10 15:42,LS,28869.5,2,115478,-621.24,-0.54,1.24,7.38,0.01,-620.62,-0.54,600.72,0.06,1
23,Exit short,2026-06-10 16:34,SL,29233.5,2,116408,-527.24,-0.45,1.24,42.38,0.04,-526.62,-0.45,73.48,0.01,2
23,Entry short,2026-06-10 16:32,LS,29102,2,116408,-527.24,-0.45,1.24,42.38,0.04,-526.62,-0.45,73.48,0.01,2
24,Exit long,2026-06-10 21:01,SL,28573.5,2,114467,-174.24,-0.15,1.24,19.38,0.02,-173.62,-0.15,-100.76,-0.01,2
24,Entry long,2026-06-10 20:59,LS,28616.75,2,114467,-174.24,-0.15,1.24,19.38,0.02,-173.62,-0.15,-100.76,-0.01,2
