Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2026-05-01 16:18,M4 Locked Profit,27859.5,1,55386.5,331.26,0.60,1.24,429.38,0.78,-17.12,-0.03,331.26,0.03,47
1,Entry long,2026-05-01 15:31,M4 Long,27693.25,1,55386.5,331.26,0.60,1.24,429.38,0.78,-17.12,-0.03,331.26,0.03,47
2,Exit short,2026-05-04 16:08,M1 TP,27835.25,1,55767.5,95.76,0.17,1.24,96.38,0.17,-15.12,-0.03,427.02,0.04,1
2,Entry short,2026-05-04 16:07,M1 Short,27883.75,1,55767.5,95.76,0.17,1.24,96.38,0.17,-15.12,-0.03,427.02,0.04,1
3,Exit short,2026-05-04 16:31,M3 Break-even Exit,27890,1,55779,-2.24,0.00,1.24,50.38,0.09,-46.12,-0.08,424.78,0.04,16
3,Entry short,2026-05-04 16:15,M3 Short,27889.5,1,55779,-2.24,0.00,1.24,50.38,0.09,-46.12,-0.08,424.78,0.04,16
4,Exit long,2026-05-05 15:47,M4 Locked Profit,28082,1,56072,90.76,0.16,1.24,132.88,0.24,-11.62,-0.02,515.54,0.05,12
4,Entry long,2026-05-05 15:35,M4 Long,28036,1,56072,90.76,0.16,1.24,132.88,0.24,-11.62,-0.02,515.54,0.05,12
5,Exit long,2026-05-06 15:35,M3 TP,28453.25,1,56841,64.26,0.11,1.24,64.88,0.11,-40.12,-0.07,579.8,0.06,3
5,Entry long,2026-05-06 15:32,M3 Long,28420.5,1,56841,64.26,0.11,1.24,64.88,0.11,-40.12,-0.07,579.8,0.06,3
6,Exit long,2026-05-06 16:09,M1 TP,28453.25,1,56783.5,121.76,0.21,1.24,122.38,0.22,-14.62,-0.03,701.56,0.07,3
6,Entry long,2026-05-06 16:06,M1 Long,28391.75,1,56783.5,121.76,0.21,1.24,122.38,0.22,-14.62,-0.03,701.56,0.07,3
7,Exit short,2026-05-07 15:43,M3 Break-even Exit,28759,1,57517,-2.24,0.00,1.24,16.38,0.03,-12.62,-0.02,699.32,0.07,2
7,Entry short,2026-05-07 15:41,M3 Short,28758.5,1,57517,-2.24,0.00,1.24,16.38,0.03,-12.62,-0.02,699.32,0.07,2
8,Exit short,2026-05-07 15:54,M1 SL,28781.5,1,57520,-44.24,-0.08,1.24,6.88,0.01,-43.62,-0.08,655.08,0.07,1
8,Entry short,2026-05-07 15:53,M1 Short,28760,1,57520,-44.24,-0.08,1.24,6.88,0.01,-43.62,-0.08,655.08,0.07,1
9,Exit short,2026-05-11 16:29,RCL TP,29288.25,1,58686,108.26,0.18,1.24,108.88,0.19,-151.62,-0.26,763.34,0.08,27
9,Entry short,2026-05-11 16:02,Reclaim Short C1,29343,1,58686,108.26,0.18,1.24,108.88,0.19,-151.62,-0.26,763.34,0.08,27
10,Exit short,2026-05-12 15:55,M3 TP,29175.25,1,58529,177.26,0.30,1.24,177.88,0.30,-1.62,0.00,940.6,0.09,9
10,Entry short,2026-05-12 15:46,M3 Short,29264.5,1,58529,177.26,0.30,1.24,177.88,0.30,-1.62,0.00,940.6,0.09,9
11,Exit long,2026-05-13 16:01,M3 Break-even Exit,29144.25,1,58289.5,-2.24,0.00,1.24,161.38,0.28,-9.12,-0.02,938.36,0.09,10
11,Entry long,2026-05-13 15:51,M3 Long,29144.75,1,58289.5,-2.24,0.00,1.24,161.38,0.28,-9.12,-0.02,938.36,0.09,10
12,Exit long,2026-05-13 16:52,M1 TP,29289,1,58352,224.76,0.39,1.24,225.38,0.39,-124.62,-0.21,1163.12,0.12,51
12,Entry long,2026-05-13 16:01,M1 Long,29176,1,58352,224.76,0.39,1.24,225.38,0.39,-124.62,-0.21,1163.12,0.12,51
13,Exit short,2026-05-14 16:40,RCL SL,29685.75,1,59177,-195.74,-0.33,1.24,102.38,0.17,-195.12,-0.33,967.38,0.10,38
13,Entry short,2026-05-14 16:02,Reclaim Short C1,29588.5,1,59177,-195.74,-0.33,1.24,102.38,0.17,-195.12,-0.33,967.38,0.10,38
14,Exit short,2026-05-15 15:31,M3 Break-even Exit,29261.75,1,58515.5,-9.24,-0.02,1.24,111.88,0.19,-10.12,-0.02,958.14,0.10,1
14,Entry short,2026-05-15 15:30,M3 Short,29257.75,1,58515.5,-9.24,-0.02,1.24,111.88,0.19,-10.12,-0.02,958.14,0.10,1
15,Exit short,2026-05-15 15:41,M1 TP,29191.75,1,58486,101.26,0.17,1.24,101.88,0.17,-3.62,-0.01,1059.4,0.11,1
15,Entry short,2026-05-15 15:40,M1 Short,29243,1,58486,101.26,0.17,1.24,101.88,0.17,-3.62,-0.01,1059.4,0.11,1
16,Exit long,2026-05-18 16:33,M1 SL,29069,1,58372.5,-235.74,-0.40,1.24,224.38,0.38,-235.12,-0.40,823.66,0.08,33
16,Entry long,2026-05-18 16:00,M1 Long,29186.25,1,58372.5,-235.74,-0.40,1.24,224.38,0.38,-235.12,-0.40,823.66,0.08,33
17,Exit long,2026-05-19 15:41,M4 SL,28965,1,58096.5,-167.74,-0.29,1.24,38.88,0.07,-167.12,-0.29,655.92,0.07,5
17,Entry long,2026-05-19 15:36,M4 Long,29048.25,1,58096.5,-167.74,-0.29,1.24,38.88,0.07,-167.12,-0.29,655.92,0.07,5
18,Exit short,2026-05-19 15:46,RCL TP,28887,1,57819.5,44.26,0.08,1.24,44.88,0.08,-61.12,-0.11,700.18,0.07,2
18,Entry short,2026-05-19 15:44,Reclaim Short C1,28909.75,1,57819.5,44.26,0.08,1.24,44.88,0.08,-61.12,-0.11,700.18,0.07,2
19,Exit long,2026-05-20 15:29,M1 SL,29060.25,1,58195,-75.74,-0.13,1.24,13.88,0.02,-75.12,-0.13,624.44,0.06,3
19,Entry long,2026-05-20 15:26,M1 Long,29097.5,1,58195,-75.74,-0.13,1.24,13.88,0.02,-75.12,-0.13,624.44,0.06,3
20,Exit long,2026-05-20 15:31,M3 TP,29134.25,1,58208.5,58.76,0.10,1.24,59.38,0.10,-23.12,-0.04,683.2,0.07,1
20,Entry long,2026-05-20 15:30,M3 Long,29104.25,1,58208.5,58.76,0.10,1.24,59.38,0.10,-23.12,-0.04,683.2,0.07,1
21,Exit long,2026-05-20 15:44,RCL TP,29134.25,1,58225.5,41.76,0.07,1.24,42.38,0.07,-48.12,-0.08,724.96,0.07,2
21,Entry long,2026-05-20 15:42,Reclaim Long C2,29112.75,1,58225.5,41.76,0.07,1.24,42.38,0.07,-48.12,-0.08,724.96,0.07,2
22,Exit short,2026-05-21 16:15,M1 TP,29239,1,58584.5,105.26,0.18,1.24,105.88,0.18,-93.62,-0.16,830.22,0.08,15
22,Entry short,2026-05-21 16:00,M1 Short,29292.25,1,58584.5,105.26,0.18,1.24,105.88,0.18,-93.62,-0.16,830.22,0.08,15
23,Exit short,2026-05-21 16:40,M3 SL,29243,1,58480.5,-6.74,-0.01,1.24,0,0.00,-6.12,-0.01,823.48,0.08,1
23,Entry short,2026-05-21 16:39,M3 Short,29240.25,1,58480.5,-6.74,-0.01,1.24,0,0.00,-6.12,-0.01,823.48,0.08,1
24,Exit long,2026-05-22 15:42,M4 SL,29630.25,1,59371,-111.74,-0.19,1.24,64.88,0.11,-111.12,-0.19,711.74,0.07,5
24,Entry long,2026-05-22 15:37,M4 Long,29685.5,1,59371,-111.74,-0.19,1.24,64.88,0.11,-111.12,-0.19,711.74,0.07,5
25,Exit short,2026-05-22 16:00,RCL TP,29551.25,1,59209.5,105.76,0.18,1.24,106.38,0.18,-78.12,-0.13,817.5,0.08,5
25,Entry short,2026-05-22 15:55,Reclaim Short C1,29604.75,1,59209.5,105.76,0.18,1.24,106.38,0.18,-78.12,-0.13,817.5,0.08,5
26,Exit long,2026-05-26 15:41,M3 TP,29897.5,1,59714,79.76,0.13,1.24,80.38,0.13,-17.62,-0.03,897.26,0.09,4
26,Entry long,2026-05-26 15:37,M3 Long,29857,1,59714,79.76,0.13,1.24,80.38,0.13,-17.62,-0.03,897.26,0.09,4
27,Exit short,2026-05-27 22:30,Prop Firm Flatten,30100,1,60156,-45.24,-0.08,1.24,403.38,0.67,-73.12,-0.12,852.02,0.09,413
27,Entry short,2026-05-27 15:37,M4 Short,30078,1,60156,-45.24,-0.08,1.24,403.38,0.67,-73.12,-0.12,852.02,0.09,413
28,Exit short,2026-05-28 16:26,M3 Break-even Exit,30125,1,60249,-2.24,0.00,1.24,121.88,0.20,-13.62,-0.02,849.78,0.08,6
28,Entry short,2026-05-28 16:20,M3 Short,30124.5,1,60249,-2.24,0.00,1.24,121.88,0.20,-13.62,-0.02,849.78,0.08,6
29,Exit short,2026-05-28 16:45,M1 SL,30175.5,1,60263.5,-88.74,-0.15,1.24,48.38,0.08,-88.12,-0.15,761.04,0.08,19
29,Entry short,2026-05-28 16:26,M1 Short,30131.75,1,60263.5,-88.74,-0.15,1.24,48.38,0.08,-88.12,-0.15,761.04,0.08,19
30,Exit long,2026-05-29 15:33,M4 SL,30380.25,1,60830,-70.74,-0.12,1.24,21.38,0.04,-70.12,-0.12,690.3,0.07,2
30,Entry long,2026-05-29 15:31,M4 Long,30415,1,60830,-70.74,-0.12,1.24,21.38,0.04,-70.12,-0.12,690.3,0.07,2
31,Exit long,2026-06-01 15:24,M3 SL,30296.75,1,60725,-132.74,-0.22,1.24,35.88,0.06,-132.12,-0.22,557.56,0.06,8
31,Entry long,2026-06-01 15:16,M3 Long,30362.5,1,60725,-132.74,-0.22,1.24,35.88,0.06,-132.12,-0.22,557.56,0.06,8
32,Exit long,2026-06-01 16:32,M1 TP,30426.75,1,60714,138.26,0.23,1.24,138.88,0.23,-124.62,-0.21,695.82,0.07,37
32,Entry long,2026-06-01 15:55,M1 Long,30357,1,60714,138.26,0.23,1.24,138.88,0.23,-124.62,-0.21,695.82,0.07,37
33,Exit long,2026-06-02 15:40,M3 SL,30435.75,1,60958,-87.74,-0.14,1.24,1.88,0.00,-87.12,-0.14,608.08,0.06,4
33,Entry long,2026-06-02 15:36,M3 Long,30479,1,60958,-87.74,-0.14,1.24,1.88,0.00,-87.12,-0.14,608.08,0.06,4
34,Exit long,2026-06-02 15:45,RCL TP,30520.75,1,61007,33.26,0.05,1.24,33.88,0.06,-12.12,-0.02,641.34,0.06,1
34,Entry long,2026-06-02 15:44,Reclaim Long C1,30503.5,1,61007,33.26,0.05,1.24,33.88,0.06,-12.12,-0.02,641.34,0.06,1
35,Exit short,2026-06-03 15:50,M4 Locked Profit,30555,1,61250,138.76,0.23,1.24,258.38,0.42,-49.12,-0.08,780.1,0.08,6
