Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2024-08-22 15:30,Long Bracket,20014.5,4,159882,232.76,0.15,1.24,233.38,0.15,-378.62,-0.24,232.76,0.47,25
1,Entry long,2024-08-22 13:25,Long,19985.25,4,159882,232.76,0.15,1.24,233.38,0.15,-378.62,-0.24,232.76,0.47,25
2,Exit short,2024-08-22 17:25,Short Bracket,19806,4,158692,242.76,0.15,1.24,243.38,0.15,-38.62,-0.02,475.52,0.95,1
2,Entry short,2024-08-22 17:20,Short,19836.5,4,158692,242.76,0.15,1.24,243.38,0.15,-38.62,-0.02,475.52,0.95,1
3,Exit short,2024-08-22 19:30,Short Bracket,19670.25,4,157598,234.76,0.15,1.24,235.38,0.15,-312.62,-0.20,710.28,1.42,5
3,Entry short,2024-08-22 19:05,Short,19699.75,4,157598,234.76,0.15,1.24,235.38,0.15,-312.62,-0.20,710.28,1.42,5
4,Exit short,2024-08-22 21:40,Short Bracket,19555.75,4,156692,244.76,0.16,1.24,245.38,0.16,-124.62,-0.08,955.04,1.91,3
4,Entry short,2024-08-22 21:25,Short,19586.5,4,156692,244.76,0.16,1.24,245.38,0.16,-124.62,-0.08,955.04,1.91,3
5,Exit short,2024-08-26 16:00,Short Bracket,19700,4,157832,230.76,0.15,1.24,231.38,0.15,-150.62,-0.10,1185.8,2.37,2
5,Entry short,2024-08-26 15:50,Short,19729,4,157832,230.76,0.15,1.24,231.38,0.15,-150.62,-0.10,1185.8,2.37,2
6,Exit short,2024-08-26 18:30,Short Bracket,19624,4,156444,-549.24,-0.35,1.24,127.38,0.08,-548.62,-0.35,636.56,1.27,6
6,Entry short,2024-08-26 18:00,Short,19555.5,4,156444,-549.24,-0.35,1.24,127.38,0.08,-548.62,-0.35,636.56,1.27,6
7,Exit short,2024-08-27 15:00,Short Bracket,19483.25,4,156102,234.76,0.15,1.24,235.38,0.15,-128.62,-0.08,871.32,1.74,0
7,Entry short,2024-08-27 15:00,Short,19512.75,4,156102,234.76,0.15,1.24,235.38,0.15,-128.62,-0.08,871.32,1.74,0
8,Exit short,2024-08-28 19:50,Short Bracket,19378.25,4,155266,238.76,0.15,1.24,239.38,0.15,-44.62,-0.03,1110.08,2.22,1
8,Entry short,2024-08-28 19:45,Short,19408.25,4,155266,238.76,0.15,1.24,239.38,0.15,-44.62,-0.03,1110.08,2.22,1
9,Exit long,2024-08-29 14:30,Long Bracket,19503,4,155786,236.76,0.15,1.24,237.38,0.15,-178.62,-0.11,1346.84,2.69,9
9,Entry long,2024-08-29 13:45,Long,19473.25,4,155786,236.76,0.15,1.24,237.38,0.15,-178.62,-0.11,1346.84,2.69,9
10,Exit short,2024-08-29 22:00,Time Filter End,19394,4,154958,-195.24,-0.13,1.24,3.38,0.00,-332.62,-0.21,1151.6,2.30,1
10,Entry short,2024-08-29 21:55,Short,19369.75,4,154958,-195.24,-0.13,1.24,3.38,0.00,-332.62,-0.21,1151.6,2.30,1
11,Exit short,2024-09-03 15:30,Short Bracket,19433,4,155708,242.76,0.16,1.24,243.38,0.16,-468.62,-0.30,1394.36,2.79,27
11,Entry short,2024-09-03 13:15,Short,19463.5,4,155708,242.76,0.16,1.24,243.38,0.16,-468.62,-0.30,1394.36,2.79,27
12,Exit short,2024-09-03 17:40,Short Bracket,19165.5,4,153556,230.76,0.15,1.24,231.38,0.15,-254.62,-0.17,1625.12,3.25,1
12,Entry short,2024-09-03 17:35,Short,19194.5,4,153556,230.76,0.15,1.24,231.38,0.15,-254.62,-0.17,1625.12,3.25,1
13,Exit short,2024-09-03 20:00,Short Bracket,19094,4,152988,234.76,0.15,1.24,235.38,0.15,-92.62,-0.06,1859.88,3.72,1
13,Entry short,2024-09-03 19:55,Short,19123.5,4,152988,234.76,0.15,1.24,235.38,0.15,-92.62,-0.06,1859.88,3.72,1
14,Exit short,2024-09-03 21:40,Short Bracket,18964,4,151952,238.76,0.16,1.24,239.38,0.16,-8.62,-0.01,2098.64,4.20,0
14,Entry short,2024-09-03 21:40,Short,18994,4,151952,238.76,0.16,1.24,239.38,0.16,-8.62,-0.01,2098.64,4.20,0
15,Exit short,2024-09-06 17:50,Short Bracket,18446.25,4,147804,232.76,0.16,1.24,233.38,0.16,-72.62,-0.05,2331.4,4.66,0
15,Entry short,2024-09-06 17:50,Short,18475.5,4,147804,232.76,0.16,1.24,233.38,0.16,-72.62,-0.05,2331.4,4.66,0
16,Exit long,2024-09-09 14:10,Long Bracket,18575.75,4,149152,-547.24,-0.37,1.24,21.38,0.01,-546.62,-0.37,1784.16,3.57,23
16,Entry long,2024-09-09 12:15,Long,18644,4,149152,-547.24,-0.37,1.24,21.38,0.01,-546.62,-0.37,1784.16,3.57,23
17,Exit long,2024-09-11 20:40,Long Bracket,19150.5,4,152964,238.76,0.16,1.24,239.38,0.16,-74.62,-0.05,2022.92,4.05,2
17,Entry long,2024-09-11 20:30,Long,19120.5,4,152964,238.76,0.16,1.24,239.38,0.16,-74.62,-0.05,2022.92,4.05,2
18,Exit short,2024-09-16 13:55,Short Bracket,19439,4,155754,240.76,0.15,1.24,241.38,0.15,-42.62,-0.03,2263.68,4.53,7
18,Entry short,2024-09-16 13:20,Short,19469.25,4,155754,240.76,0.15,1.24,241.38,0.15,-42.62,-0.03,2263.68,4.53,7
19,Exit short,2024-09-16 15:30,Short Bracket,19400.5,4,155444,238.76,0.15,1.24,239.38,0.15,-84.62,-0.05,2502.44,5.00,3
19,Entry short,2024-09-16 15:15,Short,19430.5,4,155444,238.76,0.15,1.24,239.38,0.15,-84.62,-0.05,2502.44,5.00,3
20,Exit short,2024-09-16 17:15,Short Bracket,19390.25,4,154578,-545.24,-0.35,1.24,47.38,0.03,-544.62,-0.35,1957.2,3.91,2
20,Entry short,2024-09-16 17:05,Short,19322.25,4,154578,-545.24,-0.35,1.24,47.38,0.03,-544.62,-0.35,1957.2,3.91,2
21,Exit long,2024-09-17 14:30,Long Bracket,19814.5,4,158276,238.76,0.15,1.24,239.38,0.15,-352.62,-0.22,2195.96,4.39,23
21,Entry long,2024-09-17 12:35,Long,19784.5,4,158276,238.76,0.15,1.24,239.38,0.15,-352.62,-0.22,2195.96,4.39,23
22,Exit short,2024-09-17 19:45,Short Bracket,19578.5,4,156870,240.76,0.15,1.24,241.38,0.15,-250.62,-0.16,2436.72,4.87,0
22,Entry short,2024-09-17 19:45,Short,19608.75,4,156870,240.76,0.15,1.24,241.38,0.15,-250.62,-0.16,2436.72,4.87,0
23,Exit short,2024-09-26 16:55,Short Bracket,20230,4,162080,238.76,0.15,1.24,239.38,0.15,-22.62,-0.01,2675.48,5.35,0
23,Entry short,2024-09-26 16:55,Short,20260,4,162080,238.76,0.15,1.24,239.38,0.15,-22.62,-0.01,2675.48,5.35,0
24,Exit short,2024-09-26 18:40,Short Bracket,20230.75,4,162084,236.76,0.15,1.24,237.38,0.15,-12.62,-0.01,2912.24,5.82,0
24,Entry short,2024-09-26 18:40,Short,20260.5,4,162084,236.76,0.15,1.24,237.38,0.15,-12.62,-0.01,2912.24,5.82,0
25,Exit long,2024-09-27 15:35,Long Bracket,20317,4,163086,-551.24,-0.34,1.24,49.38,0.03,-550.62,-0.34,2361,4.72,4
25,Entry long,2024-09-27 15:15,Long,20385.75,4,163086,-551.24,-0.34,1.24,49.38,0.03,-550.62,-0.34,2361,4.72,4
26,Exit short,2024-09-27 20:25,Short Bracket,20198.25,4,161822,234.76,0.15,1.24,235.38,0.15,-526.62,-0.33,2595.76,5.19,25
26,Entry short,2024-09-27 18:20,Short,20227.75,4,161822,234.76,0.15,1.24,235.38,0.15,-526.62,-0.33,2595.76,5.19,25
27,Exit short,2024-10-01 16:15,Short Bracket,19915,4,159556,234.76,0.15,1.24,235.38,0.15,-12.62,-0.01,2830.52,5.66,0
27,Entry short,2024-10-01 16:15,Short,19944.5,4,159556,234.76,0.15,1.24,235.38,0.15,-12.62,-0.01,2830.52,5.66,0
28,Exit short,2024-10-07 15:25,Short Bracket,20147.75,4,160640,-543.24,-0.34,1.24,35.38,0.02,-542.62,-0.34,2287.28,4.57,39
28,Entry short,2024-10-07 12:10,Short,20080,4,160640,-543.24,-0.34,1.24,35.38,0.02,-542.62,-0.34,2287.28,4.57,39
29,Exit long,2024-10-08 15:50,Long Bracket,20123.25,4,160750,234.76,0.15,1.24,235.38,0.15,-312.62,-0.19,2522.04,5.04,42
29,Entry long,2024-10-08 12:20,Long,20093.75,4,160750,234.76,0.15,1.24,235.38,0.15,-312.62,-0.19,2522.04,5.04,42
30,Exit long,2024-10-08 16:40,Long Bracket,20232.5,4,161616,242.76,0.15,1.24,243.38,0.15,-72.62,-0.04,2764.8,5.53,0
30,Entry long,2024-10-08 16:40,Long,20202,4,161616,242.76,0.15,1.24,243.38,0.15,-72.62,-0.04,2764.8,5.53,0
31,Exit long,2024-10-08 19:05,Long Bracket,20166.25,4,161880,-551.24,-0.34,1.24,67.38,0.04,-550.62,-0.34,2213.56,4.43,5
31,Entry long,2024-10-08 18:40,Long,20235,4,161880,-551.24,-0.34,1.24,67.38,0.04,-550.62,-0.34,2213.56,4.43,5
32,Exit short,2024-10-11 15:30,Short Bracket,20335.75,4,162926,238.76,0.15,1.24,239.38,0.15,-404.62,-0.25,2452.32,4.90,41
32,Entry short,2024-10-11 12:05,Short,20365.75,4,162926,238.76,0.15,1.24,239.38,0.15,-404.62,-0.25,2452.32,4.90,41
33,Exit long,2024-10-14 15:00,Long Bracket,20547,4,164142,232.76,0.14,1.24,233.38,0.14,-158.62,-0.10,2685.08,5.37,32
