Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2026-06-05 03:44,Short X,4471.5,1,44762,45.76,0.10,1.24,46.38,0.10,-20.62,-0.05,45.76,0.00,3
1,Entry short,2026-06-05 03:38,Short,4476.2,1,44762,45.76,0.10,1.24,46.38,0.10,-20.62,-0.05,45.76,0.00,3
2,Exit short,2026-06-05 20:14,Short X,4349.7,1,43535,36.76,0.08,1.24,37.38,0.09,-2.62,-0.01,82.52,0.01,1
2,Entry short,2026-06-05 20:12,Short,4353.5,1,43535,36.76,0.08,1.24,37.38,0.09,-2.62,-0.01,82.52,0.01,1
3,Exit long,2026-06-08 00:00,Long X,4356,1,43529,29.76,0.07,1.24,30.38,0.07,-70.62,-0.16,112.28,0.01,7
3,Entry long,2026-06-05 22:46,Long,4352.9,1,43529,29.76,0.07,1.24,30.38,0.07,-70.62,-0.16,112.28,0.01,7
4,Exit short,2026-06-12 01:26,Short X,4235.6,1,42421,63.76,0.15,1.24,64.38,0.15,-51.62,-0.12,176.04,0.02,7
4,Entry short,2026-06-12 01:12,Short,4242.1,1,42421,63.76,0.15,1.24,64.38,0.15,-51.62,-0.12,176.04,0.02,7
5,Exit short,2026-06-12 20:58,Short X,4237.8,1,42410,30.76,0.07,1.24,31.38,0.07,-3.62,-0.01,206.8,0.02,2
5,Entry short,2026-06-12 20:54,Short,4241,1,42410,30.76,0.07,1.24,31.38,0.07,-3.62,-0.01,206.8,0.02,2
6,Exit long,2026-06-12 22:22,Long X,4238.2,1,42359,21.76,0.05,1.24,22.38,0.05,-3.62,-0.01,228.56,0.02,2
6,Entry long,2026-06-12 22:18,Long,4235.9,1,42359,21.76,0.05,1.24,22.38,0.05,-3.62,-0.01,228.56,0.02,2
7,Exit long,2026-06-17 01:12,Long X,4358.2,1,43566,14.76,0.03,1.24,15.38,0.04,-9.62,-0.02,243.32,0.02,1
7,Entry long,2026-06-17 01:10,Long,4356.6,1,43566,14.76,0.03,1.24,15.38,0.04,-9.62,-0.02,243.32,0.02,1
8,Exit short,2026-06-17 02:00,Short X,4347.7,1,43495,16.76,0.04,1.24,17.38,0.04,-28.62,-0.07,260.08,0.03,3
8,Entry short,2026-06-17 01:54,Short,4349.5,1,43495,16.76,0.04,1.24,17.38,0.04,-28.62,-0.07,260.08,0.03,3
9,Exit long,2026-06-17 02:16,Long X,4360.6,1,43582,22.76,0.05,1.24,23.38,0.05,-13.62,-0.03,282.84,0.03,4
9,Entry long,2026-06-17 02:08,Long,4358.2,1,43582,22.76,0.05,1.24,23.38,0.05,-13.62,-0.03,282.84,0.03,4
10,Exit short,2026-06-17 20:02,Short X,4359,1,43665,73.76,0.17,1.24,74.38,0.17,-27.62,-0.06,356.6,0.04,1
10,Entry short,2026-06-17 20:00,Short,4366.5,1,43665,73.76,0.17,1.24,74.38,0.17,-27.62,-0.06,356.6,0.04,1
11,Exit long,2026-06-18 01:10,Long X,4296.2,1,42865,95.76,0.22,1.24,96.38,0.22,-131.62,-0.31,452.36,0.05,56
11,Entry long,2026-06-17 22:18,Long,4286.5,1,42865,95.76,0.22,1.24,96.38,0.22,-131.62,-0.31,452.36,0.05,56
12,Exit long,2026-06-24 02:00,Long X,4121.8,1,41172,44.76,0.11,1.24,45.38,0.11,-51.62,-0.13,497.12,0.05,4
