Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2026-04-30 06:00,flatten,4562.1,1,45768,145.76,0.32,1.24,146.38,0.32,-17.62,-0.04,145.76,0.29,8
1,Entry short,2026-04-30 05:20,enter_short,4576.8,1,45768,145.76,0.32,1.24,146.38,0.32,-17.62,-0.04,145.76,0.29,8
2,Exit short,2026-05-01 04:15,flatten,4646.9,1,46344,-126.24,-0.27,1.24,84.38,0.18,-125.62,-0.27,19.52,0.04,24
2,Entry short,2026-05-01 02:15,enter_short,4634.4,1,46344,-126.24,-0.27,1.24,84.38,0.18,-125.62,-0.27,19.52,0.04,24
3,Exit short,2026-05-01 05:35,flatten,4643.2,1,46321,-112.24,-0.24,1.24,0,0.00,-111.62,-0.24,-92.72,-0.19,4
3,Entry short,2026-05-01 05:15,enter_short,4632.1,1,46321,-112.24,-0.24,1.24,0,0.00,-111.62,-0.24,-92.72,-0.19,4
4,Exit short,2026-05-04 02:20,flatten,4613.7,1,46306,167.76,0.36,1.24,168.38,0.36,-7.62,-0.02,75.04,0.15,15
4,Entry short,2026-05-04 01:05,enter_short,4630.6,1,46306,167.76,0.36,1.24,168.38,0.36,-7.62,-0.02,75.04,0.15,15
5,Exit long,2026-05-04 16:40,EOD Exit,4591.1,1,45770,139.76,0.31,1.24,166.38,0.36,-126.62,-0.28,214.8,0.43,25
5,Entry long,2026-05-04 14:35,enter_long,4577,1,45770,139.76,0.31,1.24,166.38,0.36,-126.62,-0.28,214.8,0.43,25
6,Exit long,2026-05-04 17:10,flatten,4563.9,1,45828,-190.24,-0.42,1.24,9.38,0.02,-189.62,-0.41,24.56,0.05,4
6,Entry long,2026-05-04 16:50,enter_long,4582.8,1,45828,-190.24,-0.42,1.24,9.38,0.02,-189.62,-0.41,24.56,0.05,4
7,Exit long,2026-05-05 07:35,flatten,4560.1,1,45464,135.76,0.30,1.24,136.38,0.30,-7.62,-0.02,160.32,0.32,3
7,Entry long,2026-05-05 07:20,enter_long,4546.4,1,45464,135.76,0.30,1.24,136.38,0.30,-7.62,-0.02,160.32,0.32,3
8,Exit short,2026-05-05 10:55,flatten,4569,1,45553,-138.24,-0.30,1.24,0,0.00,-137.62,-0.30,22.08,0.04,11
8,Entry short,2026-05-05 10:00,enter_short,4555.3,1,45553,-138.24,-0.30,1.24,0,0.00,-137.62,-0.30,22.08,0.04,11
9,Exit short,2026-05-06 16:00,flatten,4721.3,1,46945,-269.24,-0.57,1.24,151.38,0.32,-268.62,-0.57,-247.16,-0.49,18
9,Entry short,2026-05-06 14:30,enter_short,4694.5,1,46945,-269.24,-0.57,1.24,151.38,0.32,-268.62,-0.57,-247.16,-0.49,18
10,Exit short,2026-05-06 22:00,EOD Exit,4703.2,1,47057,23.76,0.05,1.24,158.38,0.34,-57.62,-0.12,-223.4,-0.45,53
10,Entry short,2026-05-06 17:35,enter_short,4705.7,1,47057,23.76,0.05,1.24,158.38,0.34,-57.62,-0.12,-223.4,-0.45,53
11,Exit short,2026-05-07 03:10,flatten,4714.3,1,47032,-112.24,-0.24,1.24,96.38,0.20,-111.62,-0.24,-335.64,-0.67,23
11,Entry short,2026-05-07 01:15,enter_short,4703.2,1,47032,-112.24,-0.24,1.24,96.38,0.20,-111.62,-0.24,-335.64,-0.67,23
12,Exit short,2026-05-07 14:40,flatten,4761.8,1,47444,-175.24,-0.37,1.24,124.38,0.26,-174.62,-0.37,-510.88,-1.02,45
12,Entry short,2026-05-07 10:55,enter_short,4744.4,1,47444,-175.24,-0.37,1.24,124.38,0.26,-174.62,-0.37,-510.88,-1.02,45
13,Exit long,2026-05-07 16:40,EOD Exit,4764.2,1,47604,36.76,0.08,1.24,93.38,0.20,-197.62,-0.42,-474.12,-0.95,20
13,Entry long,2026-05-07 15:00,enter_long_rev,4760.4,1,47604,36.76,0.08,1.24,93.38,0.20,-197.62,-0.42,-474.12,-0.95,20
14,Exit short,2026-05-07 18:15,flatten,4723,1,47448,216.76,0.46,1.24,217.38,0.46,-22.62,-0.05,-257.36,-0.51,5
14,Entry short,2026-05-07 17:50,enter_short,4744.8,1,47448,216.76,0.46,1.24,217.38,0.46,-22.62,-0.05,-257.36,-0.51,5
15,Exit short,2026-05-07 19:25,flatten,4706.3,1,47296,231.76,0.49,1.24,232.38,0.49,-11.62,-0.02,-25.6,-0.05,11
15,Entry short,2026-05-07 18:30,enter_short,4729.6,1,47296,231.76,0.49,1.24,232.38,0.49,-11.62,-0.02,-25.6,-0.05,11
16,Exit short,2026-05-08 14:40,flatten,4740.5,1,47234,-172.24,-0.36,1.24,169.38,0.36,-171.62,-0.36,-197.84,-0.40,65
16,Entry short,2026-05-08 09:15,enter_short,4723.4,1,47234,-172.24,-0.36,1.24,169.38,0.36,-171.62,-0.36,-197.84,-0.40,65
17,Exit short,2026-05-08 22:00,EOD Exit,4734,1,47280,-61.24,-0.13,1.24,168.38,0.36,-105.62,-0.22,-259.08,-0.52,61
